# ID  glon  glat  vrad fe_h mg_fe o_fe 
2M17140797-3058143         -5.45861   4.57127   31.201  0.173  0.056  0.033 
2M17140818-2749143         -2.87980   6.39711   37.033  0.295  0.046  0.030 
2M17140931-2402345          0.23959   8.56660   -4.637 -0.405  0.330  0.260 
2M17140969-2444431         -0.34154   8.16312 -100.281 -1.307  0.353  0.158 
2M17140986-3040044         -5.20750   4.74175   24.205  0.384  0.006 -0.021 
2M17141005-2413208          0.09237   8.46155   -7.829 -0.049  0.099  0.070 
2M17141295-2447311         -0.37302   8.12627 -158.038 -0.213  0.252  0.184 
2M17141372-2428033         -0.10270   8.30976  -96.035 -0.408  0.284  0.213 
2M17141476-2441430         -0.28900   8.17610  113.977 -0.650  0.257  0.266 
2M17141526-2519114         -0.80452   7.81629  -60.877 -0.443  0.338  0.283 
2M17141580-3033427         -5.10848   4.78604   -0.226  0.075  0.172  0.228 
2M17141675-2421030          0.00069   8.36719  120.033 -0.458  0.215  0.251 
2M17141695-3028121         -5.03104   4.83598  -73.893 -0.475  0.362  0.270 
2M17141736-2345037          0.49956   8.70834  -68.848 -0.471  0.277  0.291 
2M17141760-2433286         -0.16905   8.24594   23.762 -0.501  0.364  0.305 
2M17141773-2443457         -0.31071   8.14733   60.562  0.055  0.197  0.206 
2M17141826-2429231         -0.11111   8.28296   66.235 -0.437  0.289  0.266 
2M17141832-2433460         -0.17147   8.24094 -112.476 -1.044  0.278  0.224 
2M17141837-2408209          0.17972   8.48329   62.839 -0.506  0.286  0.240 
2M17141904-2507369         -0.63678   7.91531  -37.975 -0.201  0.226  0.193 
2M17142017-2438579         -0.23917   8.18559   -1.818  0.372  0.116  0.046 
2M17142024-2414320          0.09837   8.41846  -53.283 -0.254  0.250  0.264 
2M17142073-2419411          0.02828   8.36781   12.851 -0.452  0.319  0.279 
2M17142107-3104350         -5.51763   4.47175   83.227  0.223  0.037  0.055 
2M17142110-2418317          0.04507   8.37770  -39.540 -0.363  0.324  0.245 
2M17142138-2501288         -0.54710   7.96673 -115.061 -0.458  0.266  0.286 
2M17142146-3022581         -4.95034   4.87344  -94.317 -0.383  0.279  0.233 
2M17142247-2409392          0.17072   8.45804   84.804  0.047 -0.095  0.006 
2M17142259-3036016         -5.12580   4.74379 -123.728 -0.111  0.027  0.000 
2M17142322-3038557         -5.16399   4.71387   39.956 -0.328  0.326  0.272 
2M17142347-2415435          0.08900   8.39706 -164.729 -0.620  0.370  0.282 
